crse	descr	min credit	max credit	days	start time	end time	newlibintensives	newlib	consent	instruction mode	enrolled	note	enrolling
BIOL-1000-01	Principles of Modern Biology	4.0	4.0	MWF	01:00PM	01:50PM		WKNW 2 Scientific Ways Knowg	Consent Required	In Person	0		Open
BIOL-1000L-LA	Principles of Modern Biology	0.0	0.0	R	01:00PM	02:50PM			Consent Required	In Person	0	laboratory	Open
BIOL-2010-0E	Medical Terminology	2.0	2.0						Consent Required	Asynchronous Online	0		Open
BIOL-2220-01	Foundations of Modern Biology II	4.0	4.0	MWF	10:00AM	10:50AM			Consent Required	In Person	0		Open
BIOL-2220L-LA	Foundations of Modern Biology II	0.0	0.0	T	01:00PM	02:50PM			Consent Required	In Person	0	laboratory	Open
BIOL-2240-01	Cell Biology	4.0	4.0	MWF	11:00AM	11:50AM			Consent Required	In Person	0		Open
BIOL-2240L-LA	Cell Biology - Lab	0.0	0.0	R	01:00PM	03:50PM			Consent Required	In Person	0	laboratory	Open
BIOL-2420-01	Human Anatomy and Physiology II	4.0	4.0	MWF	01:00PM	01:50PM			Consent Required	In Person	0		Open
BIOL-2420L-LA	Human Anatomy and Physiology II	0.0	0.0	T	09:00AM	10:50AM			Consent Required	In Person	0	laboratory	Open
BIOL-2420L-LB	Human Anatomy and Physiology II	0.0	0.0	R	09:00AM	10:50AM			Consent Required	In Person	0	laboratory	Open
BIOL-4070-01	Ecology and Evolutionary Biology	4.0	4.0	MWF	11:00AM	11:50AM			Consent Required	In Person	0		Open
BIOL-4070L-LA	Ecology and Evolutionary Genetics	0.0	0.0	T	01:00PM	02:50PM			Consent Required	In Person	0	laboratory	Open
BIOL-4310-01	Molecular Biochemistry and Genetics	4.0	4.0	MWF	09:00AM	09:50AM			Consent Required	In Person	0		Open
BIOL-4310L-LA	Molecular Biochemistry and Genetics	0.0	0.0	TR	09:00AM	10:50AM			Consent Required	In Person	0	laboratory	Open
BIOL-4920-01	Science Seminar II	1.0	1.0	R	12:00PM	12:50PM	Speaking/Writing UpDiv Intens		Consent Required	In Person	0	Same: BIOL/CHEM/PHYS4920	Open
BSNS-2310-01	Business Analytics	3.0	3.0	MWF	02:00PM	02:50PM			Consent Required	In Person	0		Open
BSNS-2450-01	Data Analysis and Decision Making for Business	3.0	3.0	MWF	01:00PM	01:50PM			Consent Required	In Person	0		Open
BSNS-2510-01	Principles of Finance	3.0	3.0	MWF	01:00PM	01:50PM			Consent Required	In Person	0		Open
BSNS-2550-01	Business Communications	3.0	3.0	MWF	08:00AM	08:50AM			Consent Required	In Person	0		Open
BSNS-2710-01	Principles of Management	3.0	3.0	MWF	10:00AM	10:50AM			Consent Required	In Person	0		Open
BSNS-2810-01	Principles of Marketing	3.0	3.0	TR	09:30AM	10:15AM			Consent Required	In Person	0		Open
BSNS-3240-01	Operations Management	3.0	3.0	TR	01:00PM	02:15PM			Consent Required	In Person	0		Open
BSNS-3330-0B	Music Marketing	3.0	3.0	TR	12:00PM	12:50PM	Speaking/Writing UpDiv Intens		Consent Required	In Person	0	Same: MUBS3350/BSNS3330	Open
BSNS-3350-01	Corporate Finance	3.0	3.0	MWF	01:00PM	01:50PM			Consent Required	In Person	0		Open
BSNS-3420-01	Business Law	3.0	3.0	TR	01:00PM	02:15PM		FSKL 2 Civ Discrse Crit Reas	Consent Required	In Person	0		Open
BSNS-3550-01	Integrated Branding and Promotion I	3.0	3.0	MWF	02:00PM	02:50PM			Consent Required	In Person	0		Open
BSNS-4010-01	Organizational Behavior and Theory	3.0	3.0	MWF	01:00PM	01:50PM			Consent Required	In Person	0	Same: BSNS4010/PSYC3220	Open
BSNS-4160-01	Portfolio Management	3.0	3.0	MWF	02:00PM	02:50PM			Consent Required	In Person	0		Open
BSNS-4260-01	Estate Planning	3.0	3.0	MWF	02:00PM	02:50PM			Consent Required	In Person	0		Open
BSNS-4310-01	Business Planning Development	3.0	3.0	TR	09:30AM	10:45AM			Consent Required	In Person	0		Open
BSNS-4330-01	Marketing Management	3.0	3.0	MWF	10:00AM	10:50AM			Consent Required	In Person	0		Open
BSNS-4360-01	Sport Sponsorship and Sales	3.0	3.0	TR	01:00PM	02:15PM			Consent Required	In Person	0		Open
BSNS-4390-01	Advanced Predictive Analytics	3.0	3.0	TR	09:30AM	10:50AM			Consent Required	In Person	0		Open
BSNS-4400-01	Social Media	3.0	3.0	TR	09:30AM	10:45AM			Consent Required	In Person	0		Open
BSNS-4500-01	Strategic Management	3.0	3.0	MWF	11:00AM	11:50AM			Consent Required	In Person	0		Open
BSNS-4560-01	Bsns of Game-Day Exper	3.0	3.0	TR	08:00AM	09:15AM			Consent Required	In Person	0		Open
BSNS-4800-01	Business Internship	1.0	4.0						Consent Required	In Person	0		Open
BSNS-4800-02	Business Internship	1.0	4.0						Consent Required	In Person	0		Open
BSNS-4800-03	Business Internship	1.0	4.0						Consent Required	In Person	0		Open
BSNS-4800-04	Business Internship	1.0	4.0						Consent Required	In Person	0		Open
BSNS-4910-01	Senior Seminar in Business	3.0	3.0	MWF	09:00AM	09:50AM	Writing Intensive Upper Div		Consent Required	In Person	0		Open
CHEM-1000-01	Introduction to Chemistry	4.0	4.0	MWF	11:00AM	11:50AM		WKNW 2 Scientific Ways Knowg	Consent Required	In Person	0		Open
CHEM-1000L-LA	Introduction to Chemistry	0.0	0.0	T	01:00PM	02:50PM			Consent Required	In Person	0	laboratory	Open
CHEM-1000L-LB	Introduction to Chemistry	0.0	0.0	T	03:00PM	04:50PM			Consent Required	In Person	0	laboratory	Open
CHEM-2120-01	General Chemistry II	4.0	4.0	MWF	09:00AM	09:50AM			Consent Required	In Person	0		Open
CHEM-2120L-LA	General Chemistry II	0.0	0.0	R	09:00AM	10:50AM			Consent Required	In Person	0	laboratory	Open
CHEM-2120L-LB	General Chemistry II	0.0	0.0	R	03:00PM	04:50PM			Consent Required	In Person	0	laboratory	Open
CHEM-2220-01	Organic Chemistry II	4.0	4.0	MWF	01:00PM	01:50PM			Consent Required	In Person	0		Open
CHEM-2220L-LA	Organic Chemistry II	0.0	0.0	T	08:00AM	10:50AM			Consent Required	In Person	0	laboratory	Open
CHEM-3100-01	Analytical Chemistry	4.0	4.0	MWF	08:00AM	08:50AM	Writing Intensive Upper Div		Consent Required	In Person	0		Open
CHEM-3100L-LA	Analytical Chemistry - Lab	0.0	0.0	W	01:00PM	02:50PM			Consent Required	In Person	0	laboratory	Open
CHEM-4520-01	Senior Physical Science Practicum II	1.0	1.0	T	12:00PM	12:50PM			Consent Required	In Person	0	Same: CHEM/PHYS4520	Open
CHEM-4920-01	Science Seminar II	1.0	1.0	R	12:00PM	12:50PM	Speaking/Writing UpDiv Intens		Consent Required	In Person	0	Same: BIOL/CHEM/PHYS4920	Open
CMIN-2810-01	Ministry Exploration	1.0	1.0						Consent Required	In Person	0		Open
CMIN-3260-01	Leading/Teaching/Discipling Youth	3.0	3.0	MWF	02:00PM	02:50PM			Consent Required	In Person	0	Same: PAST6160/CMIN3260	Open
CMIN-3340-0E	The Community of Faith in an Urban Culture	3.0	3.0						Consent Required	Asynchronous Online	0		Open
CMIN-3910-0B	Ministry Seminar	3.0	3.0				Speaking Intensive		Consent Required	Hybrid	0		Open
CMIN-4250-01	Theology in a Ministry Context	3.0	3.0	TR	08:00AM	09:15AM	Writing Intensive Upper Div		Consent Required	In Person	0		Open
CMIN-4810-01	Internship	1.0	4.0						Consent Required	In Person	0	Same: THFE7810/CMIN4810	Open
CMIN-4810-02	Internship	1.0	4.0						Consent Required	Asynchronous Online	0	Same: THFE7810/CMIN4810	Open
CMIN-4810-03	Internship	1.0	4.0						Consent Required	In Person	0	Same: THFE7810/CMIN4810	Open
CMIN-4810-04	Internship	1.0	4.0						Consent Required	In Person	0	Same: THFE7810/CMIN4810	Open
COMM-1000-01	Introduction to Speech Communication	3.0	3.0	TR	01:00PM	02:15PM		FSKL 4 Speaking/Listening	Consent Required	In Person	0		Open
COMM-1000-02	Introduction to Speech Communication	3.0	3.0	TR	09:30AM	10:45AM		FSKL 4 Speaking/Listening	Consent Required	In Person	0		Open
COMM-1000-03	Introduction to Speech Communication	3.0	3.0	TR	02:30PM	03:45PM		FSKL 4 Speaking/Listening	Consent Required	In Person	0		Open
COMM-1000-04	Introduction to Speech Communication	3.0	3.0	MWF	01:00PM	01:50PM		FSKL 4 Speaking/Listening	Consent Required	In Person	0		Open
COMM-2000-01	Media and Society	3.0	3.0	MWF	09:00AM	09:50AM			Consent Required	In Person	0		Open
COMM-2020-01	Audio Concepts and Production	3.0	3.0	TR	09:30AM	10:45AM			Consent Required	In Person	0		Open
COMM-2130-01	Writing for the Media	3.0	3.0	TR	02:30PM	03:45PM	Writing Intensive		Consent Required	In Person	0		Open
COMM-2160-01	The Art of Storytelling	3.0	3.0	TR	01:00PM	02:15PM	Writing Intensive		Consent Required	In Person	0		Open
COMM-2200-01	Visual Communication	3.0	3.0	F	11:00AM	11:50AM			Consent Required	In Person	0	laboratory	Open
COMM-2200-01	Visual Communication	3.0	3.0	MW	11:00AM	11:50AM			Consent Required	In Person	0		Open
COMM-2420-1	Field/Soundstage/Field/Soundstage/Postproduction	4.0	4.0	MWF	01:00PM	02:50PM			Consent Required	In Person	0		Open
COMM-2830-01	Veritas	1.0	1.0	T	12:00PM	12:50PM			Consent Required	In Person	0		Open
COMM-2860-01	Black Bird Media Lab	1.0	1.0	W	03:00PM	04:50PM			Consent Required	In Person	0		Open
COMM-3050-01	Global Communication	3.0	3.0	T	09:30AM	10:45AM		WKNW 6 Glob/Intcult Ways FL	Consent Required	In Person	0		Open
COMM-3250-01	Event Planning/Management	2.0	2.0	MW	10:00AM	10:50AM			Consent Required	In Person	0		Open
COMM-3270-01	Communication Campaigns	3.0	3.0	MWF	11:00AM	11:50AM			Not Enrolling	In Person	0		Closed
COMM-3310-01	Interpersonal Communication	3.0	3.0	TR	09:30AM	10:45AM			Consent Required	In Person	0		Open
COMM-3860-01	Practicum Event Management	1.0	2.0						Consent Required	In Person	0	Same: COMM/BSNS3860	Open
COMM-4000-01	Communication Law	3.0	3.0	MWF	11:00AM	11:50AM			Consent Required	In Person	0		Open
COMM-4800-01	Internship	1.0	4.0						Consent Required	In Person	0		Open
COMM-4800-02	Internship	1.0	4.0						Consent Required	In Person	0		Open
COMM-4800-02	Internship	1.0	4.0						Consent Required	In Person	0		Open
COMM-4800-03	Internship	1.0	4.0						Consent Required	In Person	0		Open
CPSC-2020-01	Fundamentals of Computational Thinking and Programming	4.0	4.0	MWF	10:00AM	10:50AM		FSKL 5 Quant Reasng	Consent Required	In Person	0		Open
CPSC-2020L-LA	Fundamentals of Computational Thinking and Programming	0.0	0.0	R	09:00AM	10:50AM			Consent Required	In Person	0	laboratory	Open
CPSC-2030-01	Object-Oriented Analysis and Design	4.0	4.0	MTWF	09:00AM	09:50AM			Consent Required	In Person	0		Open
CPSC-2040-01	Foundations of Data Science	4.0	4.0					WKNW 2 Scientific Ways Knowg	Consent Required	In Person	0		Open
CPSC-2150-01	Technology and Society	2.0	2.0	MW	01:00PM	01:50PM			Consent Required	In Person	0		Open
CPSC-2250-01	Discrete Mathematical Structures	4.0	4.0	MTWF	08:00AM	08:50AM			Consent Required	In Person	0	Same: MATH2200/CPSC2250	Open
CPSC-2300-01	System Administration	3.0	3.0	MW	01:00PM	01:50PM			Consent Required	In Person	0		Open
CPSC-2300L-LA	System Administration - Lab	0.0	0.0	F	01:00PM	02:50PM			Consent Required	In Person	0	laboratory	Open
CPSC-3480-01	Network Security	3.0	3.0	MW	02:00PM	02:50PM			Consent Required	In Person	0		Open
CPSC-3480-01	Network Security	3.0	3.0	R	01:00PM	02:50PM			Consent Required	In Person	0		Open
CPSC-3520-01	Introduction to Artificial Intelligence	3.0	3.0	MWF	11:00AM	11:50AM			Consent Required	In Person	0		Open
CPSC-4060-01	Penetration Testing	3.0	3.0	MW	09:00AM	09:50AM			Consent Required	In Person	0		Open
CPSC-4060-01	Penetration Testing	3.0	3.0	R	09:00AM	10:50AM			Consent Required	In Person	0	laboratory	Open
CPSC-4420-01	Operating Systems	4.0	4.0	MTW	01:00PM	01:50PM			Consent Required	In Person	0		Open
CPSC-4420-01	Operating Systems	4.0	4.0	R	01:00PM	02:50PM			Consent Required	In Person	0	laboratory	Open
CPSC-4480-01	Technical Certification	1.0	1.0	F	09:00AM	09:50AM			Consent Required	In Person	0		Open
CRIM-2560-01	Introduction to Criminal Forensic Science	3.0	3.0	MWF	10:00AM	10:50AM			Consent Required	In Person	0		Open
CRIM-3010-01	Victimology and Victim Studies	3.0	3.0	TR	09:30AM	10:45AM			Not Enrolling	In Person	0		Closed
CRIM-3080-01	Forensic Psychology	2.0	2.0	W	09:30AM	10:40AM			Consent Required	In Person	0	Same: PSYC3080/CRIM3080	Open
CRIM-4810-01	Criminal Justice Internship I	1.0	4.0						Consent Required	In Person	0		Open
CRIM-4810-02	Criminal Justice Internship I	1.0	4.0						Consent Required	In Person	0		Open
CRIM-4810-03	Criminal Justice Internship I	1.0	4.0						Consent Required	In Person	0		Open
CRIM-4810-04	Criminal Justice Internship I	1.0	4.0						Consent Required	In Person	0		Open
CRIM-4820-01	Criminal Justice Internship II	1.0	4.0						Consent Required	In Person	0		Open
CRIM-4820-02	Criminal Justice Internship II	1.0	4.0						Consent Required	In Person	0		Open
CRIM-4820-03	Criminal Justice Internship II	1.0	4.0						Consent Required	In Person	0		Open
CRIM-4820-04	Criminal Justice Internship II	1.0	4.0						Consent Required	Independent Study	0		Open
DANC-1120-01	Tap I	1.0	1.0	TR	12:00PM	12:50PM		WKNW 4 Aesthet Ways (Exper)	Consent Required	In Person	0		Open
DANC-1150-01	Dance Repertory	0.0	1.0						Consent Required	In Person	0		Open
DANC-1220-01	Modern I	2.0	2.0	MWF	03:00PM	04:20PM		WKNW 4 Aesthet Ways (Exper)	Consent Required	In Person	0		Open
DANC-1320-01	Jazz I	1.0	1.0	MWF	02:00PM	02:50PM		WKNW 4 Aesthet Ways (Exper)	Consent Required	In Person	0		Open
DANC-1420-01	Ballet I	2.0	2.0	MWF	12:00PM	01:20PM		WKNW 4 Aesthet Ways (Exper)	Consent Required	In Person	0		Open
DANC-1590-01	Dance Composition I	2.0	2.0						Consent Required	In Person	0		Open
DANC-2110-01	Musical Theatre Dance Forms	1.0	1.0	TR	01:00PM	02:15PM			Consent Required	In Person	0		Open
DANC-2120-01	Tap II	1.0	1.0	TR	08:30AM	09:20AM		WKNW 4 Aesthet Ways (Exper)	Consent Required	In Person	0		Open
DANC-2220-01	Modern II	2.0	2.0	TR	03:00PM	05:00PM		WKNW 4 Aesthet Ways (Exper)	Consent Required	In Person	0		Open
DANC-2320-01	Jazz II	1.0	1.0	TR	09:30AM	10:50AM		WKNW 4 Aesthet Ways (Exper)	Consent Required	In Person	0		Open
DANC-2420-01	Ballet II	2.0	2.0	MWF	08:30AM	09:50AM		WKNW 4 Aesthet Ways (Exper)	Consent Required	In Person	0		Open
DANC-2580-01	Dance Improvisation II	1.0	1.0	TR	01:00PM	02:20PM			Consent Required	In Person	0		Open
DANC-2590-01	Dance Composition II	2.0	2.0	TR	01:00PM	02:20PM			Consent Required	In Person	0		Open
DANC-3020-0E	Dance History II	3.0	3.0						Consent Required	Asynchronous Online	0		Open
DANC-3055-01	Dance Pedagogy II	3.0	3.0						Consent Required	In Person	0		Open
DANC-3120-01	Tap III	1.0	1.0	TR	08:30AM	09:20AM		WKNW 4 Aesthet Ways (Exper)	Consent Required	In Person	0		Open
DANC-3220-01	Modern III	2.0	2.0	TR	03:00PM	05:00PM		WKNW 4 Aesthet Ways (Exper)	Consent Required	In Person	0		Open
DANC-3320-01	Jazz Dance III	1.0	1.0	TR	09:30AM	10:50AM		WKNW 4 Aesthet Ways (Exper)	Consent Required	In Person	0		Open
DANC-3420-01	Ballet III	2.0	2.0	MWF	08:30AM	09:50AM		WKNW 4 Aesthet Ways (Exper)	Consent Required	In Person	0		Open
DANC-3510-01	Period Dance	2.0	2.0					WKNW 4 Aesthet Ways (Appr)	Consent Required	In Person	0		Open
DANC-3520-01	Pointe	1.0	1.0						Consent Required	In Person	0		Open
DANC-3580-01	Dance Improvisation III	1.0	1.0	TR	01:00PM	02:20PM			Consent Required	In Person	0		Open
DANC-3590-01	Dance Composition III	2.0	2.0	TR	01:00PM	02:20PM			Consent Required	In Person	0		Open
DANC-4060-01	Motor Control	3.0	3.0						Consent Required	In Person	0		Open
DANC-4220-01	Modern IV	2.0	2.0					WKNW 4 Aesthet Ways (Exper)	Consent Required	In Person	0		Open
DANC-4800-01	Internship in Dance	1.0	3.0						Consent Required	In Person	0		Open
ECON-2010-01	Principles of Macroeconomics	3.0	3.0	MWF	09:00AM	09:50AM		WKNW 5 Social/Behav Ways	Consent Required	In Person	0		Open
ECON-2020-01	Principles of Microeconomics	3.0	3.0	MWF	11:00AM	11:50AM			Consent Required	In Person	0		Open
ECON-3410-01	Money Banking and Financial Markets	3.0	3.0	MWF	09:00AM	09:50AM			Consent Required	In Person	0		Open
EDUC-2000-01	Teaching as a Profession	2.0	2.0	MW	11:00AM	11:50AM			Consent Required	In Person	0		Open
EDUC-2100-01	Child and Adolescent Development	3.0	3.0	TR	08:00AM	09:15AM			Consent Required	In Person	0		Open
EDUC-2110-01	Educational Psychology: Learning in the Schools	3.0	3.0	MWF	01:00PM	01:50PM		WKNW 5 Social/Behav Ways	Consent Required	In Person	0	Same: PSYC/EDUC2110	Open
EDUC-2170-01	Teaching I: Curriculum and Instruction for Early Childhood	4.0	4.0	F	10:00AM	10:50AM			Consent Required	In Person	0	Same: EDUC/CMIN2170 _hist	Open
EDUC-2170-01	Teaching I: Curriculum and Instruction for Early Childhood	4.0	4.0	MW	09:00AM	09:50AM			Consent Required	In Person	0	Same: EDUC/CMIN2170 _hist	Open
EDUC-2730-01	Field Experiences in Reading Processes	1.0	1.0	T	08:00AM	09:15AM			Consent Required	In Person	0		Open
EDUC-2850-01	Practicum in Leadership Skills	2.0	2.0	F	12:00PM	12:50PM			Consent Required	In Person	0	Same: PSYC/EDUC/SOCI2850	Open
EDUC-3000-0E	Teaching Literacy Skills in Middle and High School Content Areas	3.0	3.0						Not Enrolling	Asynchronous Online	0		Closed
EDUC-3120-01	Educational Assessment for the Classroom Teacher	3.0	3.0	MWF	11:00AM	11:50AM	Writing Intensive Upper Div		Consent Required	In Person	0		Open
EDUC-3300-01	Research-Based Reading Methods: Instruction, Intervention, and Assessment	3.0	3.0	MWF	09:00AM	09:50AM			Consent Required	In Person	0		Open
EDUC-4010-01	Student Teaching	10.0	10.0						Consent Required	In Person	0		Open
EDUC-4232-TE	Research-Based Reading Methods: Instruction, Intervention, and Assessment (T2T - Elementary)	3.0	3.0						Consent Required	Asynchronous Online	0		Open
EDUC-4245-TE	Curriculum, Instruction and Assessment in the Secondary Classroom\u00A0	3.0	3.0						Consent Required	Asynchronous Online	0		Open
EDUC-4255-TE	Disciplinary Literacy in Secondary Content Areas\u00A0 \u00A0 \u00A0	3.0	3.0						Consent Required	Asynchronous Online	0		Open
EDUC-4265-TE	Classroom Culture, Management and\u00A0 the Law	3.0	3.0						Consent Required	Asynchronous Online	0		Open
EDUC-4285-TE	Clinical Practices	3.0	3.0						Consent Required	Asynchronous Online	0		Open
EDUC-4310-01	Integrated Teaching II: Language Arts and Social Studies	4.0	4.0	MWF	01:00PM	02:50PM			Consent Required	In Person	0		Open
EDUC-4800-01	Internship in Youth Leadership	2.0	2.0	MF	12:00PM	12:50PM			Consent Required	In Person	0	Same: PSYC/EDUC/SOCI4800	Open
EDUC-4910-0B	Dyslexia Seminar	1.0	1.0	M	06:00PM	06:50PM			Consent Required	Hybrid	0		Open
EDUC-4930-01	Leadership Seminar in Character Education	2.0	2.0	T	05:00PM	06:50PM			Consent Required	In Person	0		Open
ENGL-1120-01	Rhetoric and Research	3.0	3.0	MWF	09:00AM	09:50AM		FSKL 3 Written Comm	Consent Required	In Person	0		Open
ENGL-1120-02	Rhetoric and Research	3.0	3.0	MWF	10:00AM	10:50AM		FSKL 3 Written Comm	Consent Required	In Person	0		Open
ENGL-1120-03	Rhetoric and Research	3.0	3.0	MWF	11:00AM	11:50AM		FSKL 3 Written Comm	Consent Required	In Person	0		Open
ENGL-1120-04	Rhetoric and Research	3.0	3.0	MWF	11:00AM	11:50AM		FSKL 3 Written Comm	Consent Required	In Person	0		Open
ENGL-1120-06	Rhetoric and Research	3.0	3.0	MWF	01:00PM	01:50PM		FSKL 3 Written Comm	Consent Required	In Person	0		Open
ENGL-1120-07	Rhetoric and Research	3.0	3.0	MWF	01:00PM	01:50PM		FSKL 3 Written Comm	Consent Required	In Person	0		Open
ENGL-1120-08	Rhetoric and Research	3.0	3.0	MWF	02:00PM	02:50PM		FSKL 3 Written Comm	Consent Required	In Person	0		Open
ENGL-1120-09	Rhetoric and Research	3.0	3.0	MWF	12:00PM	12:50PM		FSKL 3 Written Comm	Consent Required	In Person	0		Open
ENGL-2220-01	Global Literature	3.0	3.0	MWF	11:00AM	11:50AM		WKNW 7 Glob/Intcult Ways GI	Consent Required	In Person	0		Open
ENGL-2500-01	Appreciation of the Writing Craft	2.0	2.0	MF	12:00PM	12:50PM	Writing Intensive	WKNW 4 Aesthet Ways (Appr)	Consent Required	In Person	0		Open
ENGL-2510-01	Creative Writing Workshop	1.0	1.0	W	12:00PM	12:50PM		WKNW 4 Aesthet Ways (Exper)	Consent Required	In Person	0		Open
ENGL-3110-01	Creative Writing: Fiction	3.0	3.0	TR	01:00PM	02:15PM	Writing Intensive Upper Div		Consent Required	In Person	0		Open
ENGL-3580-01	American Ethnic Literature	3.0	3.0	MWF	09:00AM	09:50AM	Writing Intensive Upper Div	FSKL 2 Civ Discrse Crit Reas	Consent Required	In Person	0		Open
ENGL-3590-01	Teaching Diversity through Young Adult Literature	3.0	3.0	MWF	02:00PM	02:50PM		WKNW 4 Aesthetic Ways Knowg	Consent Required	In Person	0		Open
ENGL-3880-01	Writing Tutor Practicum	1.0	1.0						Consent Required	In Person	0		Open
ENGR-2060-0E	Engineering Ethics	2.0	2.0					FSKL 2 Civ Discrse Crit Reas	Consent Required	Asynchronous Online	0		Open
ENGR-2090-01	Systems Engineering	3.0	3.0	MWF	08:00AM	08:50AM		WKNW 7 Glob/Intcult Ways GI	Consent Required	In Person	0		Open
ENGR-2110-01	Dynamics	3.0	3.0	MWF	01:00PM	01:50PM			Consent Required	In Person	0		Open
ENGR-2200-01	Foundations of Digital Electronics	2.0	2.0	T	09:00AM	09:50AM			Consent Required	In Person	0		Open
ENGR-2200L-LA	Foundations of Digital Electronics	0.0	0.0	R	09:00AM	10:50AM			Consent Required	In Person	0	laboratory	Open
ENGR-2310-01	Computational Problem Solving	3.0	3.0	MW	02:00PM	02:50PM			Consent Required	In Person	0		Open
ENGR-2310L-LA	Computational Problem Solving	0.0	0.0	R	01:00PM	02:50PM			Consent Required	In Person	0	laboratory	Open
ENGR-2310L-LB	Computational Problem Solving	0.0	0.0	R	03:00PM	04:50PM			Consent Required	In Person	0	laboratory	Open
ENGR-3160-01	Vibrations	2.0	2.0	MW	01:00PM	01:50PM			Consent Required	In Person	0		Open
ENGR-3190-01	Thermodyn: Cycle Analysis	2.0	2.0	TR	08:00AM	08:50AM			Consent Required	In Person	0		Open
ENGR-3230-01	Analog Circuit Design	3.0	3.0	MW	09:00AM	09:50AM			Consent Required	In Person	0		Open
ENGR-3230L-LA	Analog Circuit Design - Lab	0.0	0.0	R	08:00AM	09:50AM			Consent Required	In Person	0	laboratory	Open
ENGR-3510-01	Solid Mechanics	3.0	3.0	MWF	02:00PM	02:50PM			Consent Required	In Person	0		Open
ENGR-3850-01	Engineering Projects Laboratory	1.0	1.0	M	03:00PM	04:50PM			Consent Required	In Person	0		Open
ENGR-4110-01	Machine Design	3.0	3.0	MWF	10:00AM	10:50AM			Consent Required	In Person	0		Open
ENGR-4140-LA	Thermal Properties Laboratory	1.0	1.0	T	09:00AM	10:50AM			Consent Required	In Person	0	laboratory	Open
ENGR-4160-01	Heat and Mass Transfer	3.0	3.0	MWF	09:00AM	09:50AM			Consent Required	In Person	0		Open
ENGR-4250-01	Digital Signal Processing	3.0	3.0	MWF	11:00AM	11:50AM			Consent Required	In Person	0		Open
ENGR-4320-LA	Fluid Mechanics Laboratory	1.0	1.0	T	01:00PM	02:50PM			Consent Required	In Person	0	laboratory	Open
ENGR-4320-LB	Fluid Mechanics Laboratory	1.0	1.0	R	09:00AM	10:50AM			Consent Required	In Person	0	laboratory	Open
ENGR-4330-01	Water Resources Engineering	3.0	3.0	MWF	09:00AM	09:50AM			Consent Required	In Person	0		Open
ENGR-4350-01	Structural Design (steel)	3.0	3.0	MWF	11:00AM	11:50AM			Consent Required	In Person	0		Open
ENGR-4960-01	Engineering Senior Design II	2.0	2.0	MW	12:00PM	12:50PM	Speaking/Writing UpDiv Intens		Consent Required	In Person	0		Open
EXSC-1530-01	Advanced Resistance Training and Conditioning	3.0	3.0	MWF	11:00AM	11:50AM			Consent Required	In Person	0		Open
EXSC-2140-0EA	Nutrition in Health and Disease	4.0	4.0					WKNW 2 Scientific Ways Knowg	Consent Required	Asynchronous Online	0		Open
EXSC-2455-01	Foundations of Exercise Leadership	3.0	3.0	TR	01:00PM	02:15PM			Consent Required	In Person	0		Open
EXSC-2580-01	Sports Nutrition	3.0	3.0	MWF	10:00AM	10:50AM			Consent Required	In Person	0		Open
EXSC-3100-0E	Eating Disorders	3.0	3.0						Consent Required	In Person	0		Open
EXSC-3480-01	Physiology of Exercise II	4.0	4.0	MWF	10:00AM	10:50AM	Writing Intensive Upper Div		Consent Required	In Person	0		Open
